device,config,model,query_id,dataset,warmup,ttft_ms,e2e_ms,t_retrieval_ms,t_prefill_ms,t_decode_ms,n_tokens,peak_rss_mb,t_query_start,t_query_end,energy_gross_j,energy_idle_subtracted_j,answer_text,retrieved_ids,is_mock,em,f1,faithfulness,accuracy_harmonic
laptop,C3,gemma-2-2b-it,squad-10,squad,0,13008.597,13965.984,33.233,12975.364,69.5679,13,10363.6,1783119360.541347,1783119374.5057933,452.3643,59.536,"January 30, 2000",wiki-3826|wiki-3833|wiki-0|wiki-3825|wiki-3834|wiki-10073|wiki-3823|wiki-1366|wiki-3829|wiki-9834,0,0,0.0,1.0,0.0
laptop,C3,gemma-2-2b-it,squad-11,squad,0,11909.765,12981.555,7.51,11902.255,75.43,13,10473.0,1783119374.816252,1783119387.796391,420.4786,55.3395,The Denver Broncos won Super Bowl 50.,wiki-4|wiki-5053|wiki-3829|wiki-9825|wiki-3828|wiki-9834|wiki-0|wiki-3|wiki-3833|wiki-2,0,0,0.5,1.0,0.6667
laptop,C3,gemma-2-2b-it,squad-12,squad,0,9123.193,9413.723,54.25,9068.943,42.258,5,10471.0,1783119388.1101456,1783119397.522866,304.9157,40.1302,Levi's Stadium,wiki-3826|wiki-0|wiki-4|wiki-3|wiki-3823|wiki-3830|wiki-3833|wiki-1|wiki-3825|wiki-3834,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-13,squad,0,11399.197,11853.213,7.844,11391.353,55.6713,8,10478.1,1783119397.8318572,1783119409.6837928,383.2397,49.8376,"Santa Clara, California.",wiki-3826|wiki-0|wiki-4|wiki-3|wiki-3823|wiki-7547|wiki-3830|wiki-3833|wiki-1|wiki-3825,0,0,0.8,1.0,0.8889
laptop,C3,gemma-2-2b-it,squad-14,squad,0,11509.976,11942.216,72.612,11437.364,54.9043,6,10588.4,1783119410.0648425,1783119422.0057936,384.7971,48.891,Super Bowl L,wiki-1|wiki-9825|wiki-3826|wiki-0|wiki-3|wiki-4|wiki-3823|wiki-2|wiki-3833|wiki-3825,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-15,squad,0,12687.05,13141.293,36.178,12650.872,48.1814,8,10741.3,1783119422.302286,1783119435.4423091,423.4372,53.8005,2015,wiki-3823|wiki-0|wiki-3830|wiki-3833|wiki-3826|wiki-3|wiki-4|wiki-3825|wiki-3829|wiki-7547,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-16,squad,0,13179.553,13664.499,36.496,13143.057,48.2602,8,10874.0,1783119435.746507,1783119449.409514,440.2904,55.9418,2015,wiki-0|wiki-3|wiki-2|wiki-3823|wiki-7607|wiki-3825|wiki-3833|wiki-3830|wiki-5053|wiki-3829,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-17,squad,0,12101.954,12676.67,12.063,12089.891,56.1594,8,10888.5,1783119449.7080472,1783119462.3833463,408.4615,51.8977,"Santa Clara, California.",wiki-3826|wiki-0|wiki-4|wiki-3|wiki-3823|wiki-7547|wiki-3830|wiki-3833|wiki-1|wiki-3825,0,0,0.8,1.0,0.8889
laptop,C3,gemma-2-2b-it,squad-18,squad,0,11519.328,11985.791,9.129,11510.199,75.3934,5,11041.8,1783119462.7016768,1783119474.6861715,381.6051,44.4741,Levi's Stadium,wiki-3826|wiki-0|wiki-4|wiki-3830|wiki-3825|wiki-3|wiki-3823|wiki-3833|wiki-1|wiki-3829,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-19,squad,0,16161.472,17462.244,39.531,16121.941,134.744,9,11202.2,1783119475.0834625,1783119492.5444312,553.146,61.9585,24-10,wiki-3833|wiki-3825|wiki-3823|wiki-0|wiki-3826|wiki-4|wiki-5053|wiki-10073|wiki-2|wiki-3829,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-20,squad,0,13364.5,14145.479,32.484,13332.016,57.2049,12,11381.2,1783119492.879413,1783119507.0233715,448.0665,50.1884,"February 7, 2016",wiki-3826|wiki-4|wiki-3|wiki-3823|wiki-0|wiki-3830|wiki-3833|wiki-10073|wiki-3825|wiki-7547,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-21,squad,0,11846.06,12409.07,8.26,11837.8,55.2861,8,11371.4,1783119507.3126378,1783119519.720354,392.9047,43.8681,2016,wiki-3823|wiki-0|wiki-4|wiki-3826|wiki-3|wiki-3833|wiki-10073|wiki-7547|wiki-3825|wiki-3829,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-22,squad,0,12912.601,13218.109,7.069,12905.532,44.2384,5,11548.6,1783119519.9927192,1783119533.2093947,404.3249,32.5319,Tennessee Titans,wiki-3831|wiki-6473|wiki-6474|wiki-6480|wiki-6471|wiki-6478|wiki-6476|wiki-2|wiki-9836|wiki-1985,0,0,0.0,1.0,0.0
laptop,C3,gemma-2-2b-it,squad-23,squad,0,10936.292,11240.109,7.232,10929.06,43.3134,5,11723.2,1783119533.487763,1783119544.7266672,344.9332,28.7761,Carolina Panthers,wiki-11446|wiki-3831|wiki-2|wiki-3827|wiki-7614|wiki-9836|wiki-3823|wiki-4173|wiki-3833|wiki-0,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-24,squad,0,10024.833,10886.895,7.811,10017.022,57.3501,13,11724.4,1783119545.0683572,1783119555.954079,334.0937,27.8718,The Denver Broncos won Super Bowl 50.,wiki-4|wiki-5053|wiki-3829|wiki-9825|wiki-3828|wiki-9834|wiki-0|wiki-3|wiki-3833|wiki-2,0,0,0.5,1.0,0.6667
laptop,C3,gemma-2-2b-it,squad-25,squad,0,11795.3,12278.0,8.082,11787.218,44.8104,8,11719.3,1783119556.2876883,1783119568.5643456,376.7829,31.4332,2015,wiki-3823|wiki-0|wiki-3830|wiki-3833|wiki-3826|wiki-3|wiki-4|wiki-3829|wiki-5053|wiki-7547,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-26,squad,0,8582.454,8988.45,28.207,8554.247,49.7581,7,11883.4,1783119568.8474903,1783119577.835003,275.8357,23.0116,The Denver Broncos.,wiki-1|wiki-3|wiki-3831|wiki-3836|wiki-9834|wiki-0|wiki-3833|wiki-2|wiki-3825|wiki-3829,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-27,squad,0,13051.45,14423.066,7.406,13044.044,68.2726,19,11997.8,1783119578.1211126,1783119592.5425851,460.3749,54.6903,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",wiki-0|wiki-4|wiki-3826|wiki-3|wiki-10073|wiki-3833|wiki-3825|wiki-3829|wiki-3823|wiki-2,0,0,0.4,1.0,0.5714
laptop,C3,gemma-2-2b-it,squad-28,squad,0,11127.206,11489.129,8.651,11118.555,42.8256,5,11992.7,1783119592.8585355,1783119604.346448,366.4529,43.291,Super Bowl,wiki-3833|wiki-2|wiki-3830|wiki-6476|wiki-2513|wiki-2514|wiki-1700|wiki-0|wiki-4223|wiki-1703,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-29,squad,0,12692.155,13215.086,28.896,12663.259,65.4166,7,12120.0,1783119604.6308503,1783119617.844476,421.5014,49.7942,The Denver Broncos.,wiki-2|wiki-9836|wiki-6476|wiki-1786|wiki-3831|wiki-9964|wiki-694|wiki-1985|wiki-6473|wiki-10277,0,1,1.0,0.5,0.6667
laptop,C3,gemma-2-2b-it,squad-30,squad,0,7228.422,7525.213,8.983,7219.439,39.9598,5,12272.0,1783119618.1484642,1783119625.6731076,240.0286,28.3559,Cam Newton,wiki-2|wiki-9831|wiki-9215|wiki-9970|wiki-9974|wiki-5497|wiki-9966|wiki-8984|wiki-9981|wiki-0,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-31,squad,0,8691.838,8953.8,28.814,8663.024,40.2448,5,12278.6,1783119625.9673047,1783119634.9212623,285.6223,33.7421,3,wiki-2|wiki-3|wiki-0|wiki-9153|wiki-4815|wiki-3836|wiki-9825|wiki-10279|wiki-1366|wiki-9833,0,0,0.0,1.0,0.0
laptop,C3,gemma-2-2b-it,squad-32,squad,0,12210.052,12771.697,7.455,12202.597,62.3609,8,12287.3,1783119635.1946673,1783119647.966525,397.6741,38.394,1995,wiki-819|wiki-0|wiki-2|wiki-833|wiki-830|wiki-6106|wiki-1979|wiki-3835|wiki-6480|wiki-6474,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-33,squad,0,12064.348,12479.584,28.413,12035.935,66.0306,5,12295.7,1783119648.264221,1783119660.7439573,387.5208,36.4583,Arizona Cardinals,wiki-11446|wiki-782|wiki-792|wiki-2|wiki-0|wiki-7610|wiki-3831|wiki-9408|wiki-5557|wiki-2846,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-34,squad,0,11903.603,12511.637,8.525,11895.078,61.4729,8,12299.3,1783119661.068544,1783119673.5803463,388.5165,36.552,The New England Patriots.,wiki-2|wiki-0|wiki-3829|wiki-1367|wiki-10073|wiki-377|wiki-4815|wiki-3836|wiki-9825|wiki-5053,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-35,squad,0,13275.95,13670.959,8.439,13267.511,44.9743,7,12276.3,1783119673.8773644,1783119687.5484965,424.516,39.9388,The Arizona Cardinals.,wiki-2|wiki-780|wiki-782|wiki-0|wiki-3833|wiki-7614|wiki-7610|wiki-5053|wiki-3829|wiki-3830,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-36,squad,0,9682.948,10188.104,27.78,9655.168,52.0859,8,12286.7,1783119687.8717835,1783119698.0600805,317.6654,31.0625,The New England Patriots.,wiki-2|wiki-3831|wiki-696|wiki-0|wiki-792|wiki-6476|wiki-8133|wiki-6473|wiki-9142|wiki-9148,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-37,squad,0,10490.903,11007.628,7.824,10483.079,50.3092,9,12283.4,1783119698.3431306,1783119709.3509293,343.1311,33.4751,The St. Louis Rams.,wiki-9825|wiki-3831|wiki-5053|wiki-3829|wiki-9834|wiki-4|wiki-3833|wiki-3825|wiki-2|wiki-0,0,0,0.0,1.0,0.0
laptop,C3,gemma-2-2b-it,squad-38,squad,0,9309.851,9611.667,27.552,9282.299,46.4128,5,12272.2,1783119709.608684,1783119719.220519,298.1591,27.7724,4,wiki-1988|wiki-2|wiki-9825|wiki-3836|wiki-9833|wiki-3826|wiki-3833|wiki-0|wiki-5053|wiki-3825,0,0,0.0,1.0,0.0
laptop,C3,gemma-2-2b-it,squad-39,squad,0,11421.3,11700.055,8.828,11412.472,41.9458,5,12306.3,1783119719.500685,1783119731.201212,362.9503,33.8075,Cam Newton,wiki-9826|wiki-9825|wiki-3829|wiki-2|wiki-5053|wiki-0|wiki-2387|wiki-5060|wiki-4825|wiki-10279,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-40,squad,0,9706.111,10171.423,9.067,9697.044,48.7828,8,12305.7,1783119731.4632964,1783119741.6348789,315.5225,29.3898,15-1,wiki-0|wiki-7606|wiki-2|wiki-7614|wiki-9964|wiki-9148|wiki-7613|wiki-7611|wiki-7610|wiki-792,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-41,squad,0,10476.18,10763.031,17.178,10459.002,43.6202,5,12277.8,1783119741.9081435,1783119752.6713402,340.3007,37.5255,Cam Newton,wiki-0|wiki-2|wiki-10279|wiki-1375|wiki-2420|wiki-9964|wiki-1786|wiki-7612|wiki-9825|wiki-4825,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-42,squad,0,9251.384,9690.544,10.074,9241.31,46.6869,8,12277.7,1783119752.94556,1783119762.6362703,311.4207,38.8152,12-4,wiki-0|wiki-2|wiki-9148|wiki-7610|wiki-6469|wiki-7606|wiki-7614|wiki-700|wiki-694|wiki-3,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-43,squad,0,10613.863,10910.051,7.574,10606.289,45.6934,5,12280.6,1783119762.8930302,1783119773.803243,350.6106,43.6998,4,wiki-1988|wiki-2|wiki-3836|wiki-3833|wiki-0|wiki-9833|wiki-3826|wiki-3825|wiki-3830|wiki-3829,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-44,squad,0,9940.533,10280.18,10.058,9930.475,45.1745,6,12284.1,1783119774.0814383,1783119784.3618066,330.3699,41.177,New England Patriots,wiki-2|wiki-3836|wiki-3833|wiki-9825|wiki-3825|wiki-3831|wiki-784|wiki-0|wiki-3|wiki-3826,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-45,squad,0,9196.629,9482.443,35.834,9160.795,43.3724,5,12285.0,1783119784.6195004,1783119794.1020958,304.7327,37.9816,Phil Bennett,wiki-7612|wiki-7607|wiki-7609|wiki-5225|wiki-10279|wiki-5053|wiki-10275|wiki-2387|wiki-9826|wiki-5557,0,0,0.0,1.0,0.0
laptop,C3,gemma-2-2b-it,squad-46,squad,0,12757.801,13121.599,7.856,12749.945,60.1824,5,12292.8,1783119794.370654,1783119807.4924378,416.0737,46.9501,Denver Broncos,wiki-2|wiki-3829|wiki-780|wiki-782|wiki-0|wiki-3833|wiki-2514|wiki-8608|wiki-11446|wiki-7614,0,0,0.0,1.0,0.0
laptop,C3,gemma-2-2b-it,squad-47,squad,0,9302.04,9615.182,9.674,9292.366,44.3106,5,12277.1,1783119807.8002799,1783119817.415629,293.6143,23.1288,2,wiki-2|wiki-9825|wiki-0|wiki-3836|wiki-3826|wiki-3|wiki-3833|wiki-3825|wiki-3829|wiki-9833,0,1,1.0,0.0,0.0
laptop,C3,gemma-2-2b-it,squad-48,squad,0,10992.624,11449.988,7.977,10984.647,49.3885,8,12285.6,1783119817.6715343,1783119829.1216695,348.4947,26.3955,The New England Patriots.,wiki-2|wiki-0|wiki-6476|wiki-3|wiki-696|wiki-3831|wiki-6473|wiki-780|wiki-6474|wiki-6471,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-49,squad,0,8736.109,9037.257,20.471,8715.638,48.3154,5,12301.1,1783119829.3788412,1783119838.416254,271.4297,17.2018,Cam Newton,wiki-9964|wiki-2|wiki-9826|wiki-10275|wiki-9970|wiki-9215|wiki-9981|wiki-9966|wiki-5053|wiki-5049,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-50,squad,0,11315.165,11818.171,23.808,11291.357,53.4796,8,12292.5,1783119838.682043,1783119850.5003827,354.952,22.495,The New England Patriots.,wiki-0|wiki-2|wiki-9964|wiki-696|wiki-780|wiki-694|wiki-1786|wiki-3|wiki-6476|wiki-3833,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-51,squad,0,12729.567,13142.583,8.807,12720.76,47.6487,7,12308.6,1783119850.7774966,1783119863.9202576,395.6016,25.8879,The Arizona Cardinals.,wiki-0|wiki-2|wiki-9964|wiki-780|wiki-8607|wiki-3829|wiki-1786|wiki-3833|wiki-7614|wiki-5053,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-52,squad,0,10773.882,11088.737,7.35,10766.532,43.9386,5,12284.4,1783119864.1939387,1783119875.2828398,340.5291,28.5916,Cam Newton,wiki-5049|wiki-9826|wiki-0|wiki-5053|wiki-2|wiki-11016|wiki-9964|wiki-2420|wiki-10279|wiki-2387,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-53,squad,0,11537.147,11944.049,8.044,11529.103,47.7373,7,12310.6,1783119875.578041,1783119887.5222616,366.7951,30.797,The Arizona Cardinals.,wiki-2|wiki-782|wiki-0|wiki-7614|wiki-7610|wiki-3829|wiki-1376|wiki-9825|wiki-5557|wiki-3833,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-54,squad,0,11442.164,11978.594,7.019,11435.145,58.7353,8,12314.4,1783119887.778441,1783119899.7571924,367.8555,30.886,1995,wiki-0|wiki-717|wiki-2|wiki-819|wiki-833|wiki-782|wiki-4436|wiki-5557|wiki-3829|wiki-6476,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-55,squad,0,9760.422,10072.144,38.098,9722.324,42.2994,5,12302.6,1783119900.0412283,1783119910.1135647,309.3114,25.9705,Von Miller,wiki-4|wiki-3|wiki-0|wiki-3829|wiki-9825|wiki-3832|wiki-5053|wiki-5049|wiki-9833|wiki-2,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-56,squad,0,12210.194,12527.358,8.155,12202.039,51.1422,5,12313.1,1783119910.3627536,1783119922.8902895,384.5846,32.1775,2,wiki-3|wiki-0|wiki-10073|wiki-2|wiki-3829|wiki-3825|wiki-3832|wiki-5053|wiki-3833|wiki-4,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-57,squad,0,11095.234,11654.59,8.437,11086.797,58.3171,8,12283.0,1783119923.18009,1783119934.834842,356.7286,28.8735,The Western Conference team.,wiki-2429|wiki-336|wiki-9971|wiki-9223|wiki-3109|wiki-9964|wiki-11964|wiki-11446|wiki-9977|wiki-10803,0,0,0.0,1.0,0.0
laptop,C3,gemma-2-2b-it,squad-58,squad,0,9773.623,10101.805,8.513,9765.11,48.8338,5,12286.7,1783119935.1158404,1783119945.2178147,309.2012,25.0266,Von Miller,wiki-3|wiki-0|wiki-2|wiki-9833|wiki-1366|wiki-5049|wiki-3829|wiki-9825|wiki-3823|wiki-3825,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-59,squad,0,9799.801,10198.475,8.045,9791.756,69.1404,5,12289.0,1783119945.47247,1783119955.6711042,305.6183,18.7246,5,wiki-3|wiki-0|wiki-3833|wiki-4|wiki-5053|wiki-3829|wiki-10073|wiki-9833|wiki-9825|wiki-2,0,0,0.0,1.0,0.0
laptop,C3,gemma-2-2b-it,squad-60,squad,0,10067.185,10350.244,8.954,10058.231,41.4964,5,12300.9,1783119955.9609106,1783119966.3113153,309.4253,18.2623,Cam Newton,wiki-3|wiki-3829|wiki-2|wiki-696|wiki-1377|wiki-9838|wiki-1365|wiki-9966|wiki-10279|wiki-10278,0,0,0.6667,1.0,0.8
laptop,C3,gemma-2-2b-it,squad-61,squad,0,11152.256,11570.482,28.129,11124.127,49.6239,7,12262.8,1783119966.6068494,1783119978.1774986,346.6119,21.1226,2.5,wiki-3|wiki-2|wiki-9836|wiki-788|wiki-5060|wiki-7547|wiki-8131|wiki-0|wiki-211|wiki-5049,0,0,0.0,0.0,0.0
laptop,C3,gemma-2-2b-it,squad-62,squad,0,18567.478,19105.276,14.064,18553.414,82.583,5,12269.3,1783119978.4729412,1783119997.5783713,588.1034,50.6561,Von Miller,wiki-5053|wiki-3828|wiki-3829|wiki-9825|wiki-4|wiki-3|wiki-2|wiki-0|wiki-3825|wiki-3833,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-63,squad,0,12479.415,13034.867,42.358,12437.057,96.505,5,12249.0,1783119997.9038432,1783120010.9388871,401.2447,34.5611,Three.,wiki-2|wiki-3|wiki-7888|wiki-782|wiki-2849|wiki-4816|wiki-7617|wiki-8131|wiki-2850|wiki-5060,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-64,squad,0,17235.317,17867.206,10.692,17224.625,113.4978,5,12227.5,1783120011.2659855,1783120029.1333723,549.9939,47.3736,2,wiki-3|wiki-9836|wiki-10073|wiki-3832|wiki-5066|wiki-5060|wiki-7614|wiki-0|wiki-6469|wiki-5063,0,0,0.0,1.0,0.0
laptop,C3,gemma-2-2b-it,squad-65,squad,0,15638.705,17343.858,34.849,15603.856,181.154,9,12261.5,1783120029.4968023,1783120046.840837,533.8841,45.986,You don't know.,wiki-4|wiki-3829|wiki-0|wiki-5053|wiki-5049|wiki-1366|wiki-9825|wiki-3823|wiki-8385|wiki-3833,0,0,0.0,0.0,0.0
laptop,C3,gemma-2-2b-it,squad-66,squad,0,13266.148,13742.011,9.289,13256.859,78.0956,5,12260.3,1783120047.1785357,1783120060.920726,390.0824,3.5064,Linebacker,wiki-3|wiki-5495|wiki-10279|wiki-0|wiki-700|wiki-377|wiki-9148|wiki-4825|wiki-7609|wiki-5222,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-67,squad,0,18526.921,19334.747,10.764,18516.157,146.4884,5,12245.9,1783120061.282361,1783120080.6172767,479.2481,0.0,5,wiki-3|wiki-2|wiki-0|wiki-4|wiki-3829|wiki-9833|wiki-10073|wiki-9825|wiki-3833|wiki-5060,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-68,squad,0,15079.432,16447.783,11.047,15068.385,251.0124,5,12258.8,1783120080.9801567,1783120097.4281092,407.7941,0.0,2,wiki-3|wiki-4|wiki-0|wiki-10073|wiki-2|wiki-3829|wiki-1|wiki-3826|wiki-3832|wiki-5053,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-69,squad,0,15630.102,16206.475,11.036,15619.066,97.5492,5,12240.7,1783120097.8543794,1783120114.061035,401.8116,0.0,Von Miller,wiki-5053|wiki-3829|wiki-9971|wiki-1366|wiki-3|wiki-0|wiki-3825|wiki-3833|wiki-3828|wiki-9825,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-70,squad,0,15719.617,16222.172,8.986,15710.631,84.721,5,12249.6,1783120114.3804936,1783120130.6028323,408.9484,0.0,5,wiki-3|wiki-9838|wiki-3829|wiki-4825|wiki-10073|wiki-11356|wiki-10280|wiki-793|wiki-5060|wiki-5053,0,1,1.0,0.0,0.0
laptop,C3,gemma-2-2b-it,squad-71,squad,0,16261.387,17058.516,8.823,16252.564,100.053,7,12267.7,1783120130.9312072,1783120147.9899292,436.8909,0.0,2.5,wiki-3|wiki-2|wiki-0|wiki-7547|wiki-3833|wiki-3829|wiki-4|wiki-1366|wiki-10073|wiki-3823,0,0,0.0,1.0,0.0
laptop,C3,gemma-2-2b-it,squad-72,squad,0,15274.196,16000.513,9.407,15264.789,159.7982,4,12289.8,1783120148.3320389,1783120164.3327563,409.7944,0.0,Three,wiki-3|wiki-2|wiki-2849|wiki-0|wiki-5049|wiki-10274|wiki-9836|wiki-791|wiki-4815|wiki-7888,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-73,squad,0,15309.935,17353.884,33.234,15276.701,163.5308,12,12273.8,1783120164.669119,1783120182.0231698,444.3698,0.0,A fumble which they recovered for a touchdown.,wiki-3|wiki-791|wiki-793|wiki-792|wiki-2|wiki-0|wiki-696|wiki-10279|wiki-11016|wiki-10073,0,0,0.2857,1.0,0.4444
laptop,C3,gemma-2-2b-it,squad-74,squad,0,16849.912,27531.411,9.385,16840.527,623.5973,17,12258.2,1783120182.3510733,1783120209.88263,688.8762,0.0,The Denver Broncos defeated the Carolina Panthers 24–10.,wiki-2|wiki-3829|wiki-3823|wiki-4|wiki-5053|wiki-9215|wiki-9970|wiki-9825|wiki-5497|wiki-0,0,0,0.0,1.0,0.0
laptop,C3,gemma-2-2b-it,squad-75,squad,0,16046.953,17780.024,12.851,16034.102,327.3842,5,12212.5,1783120210.501265,1783120228.281451,443.8646,0.0,Linebacker,wiki-3|wiki-11821|wiki-5495|wiki-5222|wiki-4436|wiki-7053|wiki-11819|wiki-787|wiki-5571|wiki-7609,0,1,1.0,1.0,1.0
laptop,C3,gemma-2-2b-it,squad-76,squad,0,20113.173,22101.464,8.681,20104.492,382.5018,5,12161.7,1783120228.6751752,1783120250.7768004,551.745,0.0,7,wiki-2|wiki-5060|wiki-7612|wiki-3|wiki-7609|wiki-0|wiki-788|wiki-4436|wiki-7607|wiki-1370,0,0,0.0,1.0,0.0
