device,config,model,query_id,dataset,warmup,ttft_ms,e2e_ms,t_retrieval_ms,t_prefill_ms,t_decode_ms,n_tokens,peak_rss_mb,t_query_start,t_query_end,energy_gross_j,energy_idle_subtracted_j,answer_text,retrieved_ids,is_mock,em,f1,faithfulness,accuracy_harmonic
phone,exp1_baseline,gemma-2-2b-it,squad-16,squad,0,27181.784,27250.75,21.784,27160.0,68.9655,1,298.3,1783126881.578387,1783126908.486226,,,2016,wiki-0|wiki-3|wiki-2|wiki-3825|wiki-3831,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,squad-17,squad,0,27193.109,27397.19,4.354,27188.755,68.0272,3,298.3,1783126908.4863603,1783126936.9801784,624.9089,605.6528,"Santa Clara, California.",wiki-0|wiki-4|wiki-3830|wiki-3826|wiki-3833,0,0,0.8,1.0,0.8889
phone,exp1_baseline,gemma-2-2b-it,squad-18,squad,0,27249.289,27380.868,20.374,27228.916,65.7895,2,298.3,1783126936.9803185,1783126965.3910925,,,Levi's Stadium,wiki-0|wiki-4|wiki-3830|wiki-3833|wiki-3826,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,squad-19,squad,0,26229.827,26299.272,4.928,26224.9,69.4444,1,298.3,1783126965.3912244,1783126992.1094055,557.9131,539.8569,24-10,wiki-0|wiki-3|wiki-3833|wiki-3826|wiki-4,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,squad-20,squad,0,27214.794,27435.382,14.794,27200.0,73.5294,3,298.3,1783126992.1095502,1783127020.9181786,186.3432,166.8743,"February 7, 2016",wiki-0|wiki-3826|wiki-4|wiki-3830|wiki-3833,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,squad-21,squad,0,26068.63,26140.058,4.372,26064.257,71.4286,1,298.3,1783127020.918335,1783127047.6197033,376.6291,358.5843,2016,wiki-0|wiki-4|wiki-3826|wiki-3|wiki-3833,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,squad-22,squad,0,29134.743,29264.613,18.277,29116.466,64.9351,2,298.3,1783127047.619836,1783127076.4613757,,,Denver Broncos,wiki-6476|wiki-3831|wiki-0|wiki-2|wiki-3833,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,squad-23,squad,0,29242.756,29518.619,8.886,29233.871,68.9655,4,298.3,1783127076.4615982,1783127105.5979385,562.1274,542.4371,The St. Louis Rams,wiki-3833|wiki-0|wiki-3831|wiki-6476|wiki-2,0,0,0.0,1.0,0.0
phone,exp1_baseline,gemma-2-2b-it,squad-24,squad,0,27803.578,28318.284,12.413,27791.165,73.5294,7,298.3,1783127105.5980768,1783127133.7974455,,,The Denver Broncos won Super Bowl 50.,wiki-0|wiki-3|wiki-4|wiki-3833|wiki-2,0,0,0.5,0.8333,0.625
phone,exp1_baseline,gemma-2-2b-it,squad-25,squad,0,26484.182,26551.296,4.182,26480.0,67.1141,1,298.3,1783127133.7975764,1783127161.1273715,562.6129,544.1434,2015,wiki-0|wiki-3|wiki-2|wiki-4|wiki-3830,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,squad-26,squad,0,29937.932,30147.722,18.253,29919.679,69.9301,3,298.3,1783127161.1275027,1783127190.3635194,,,The Denver Broncos.,wiki-0|wiki-3833|wiki-3|wiki-2|wiki-3825,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,squad-27,squad,0,26969.587,27878.678,9.587,26960.0,75.7576,12,298.3,1783127190.363653,1783127219.5466433,554.658,534.9362,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",wiki-0|wiki-4|wiki-3826|wiki-3830|wiki-3833,0,0,0.4,1.0,0.5714
phone,exp1_baseline,gemma-2-2b-it,squad-28,squad,0,31066.836,31278.104,14.205,31052.632,70.4225,3,298.3,1783127219.5467768,1783127250.7900164,,,Super Bowl LIII,wiki-3830|wiki-0|wiki-6476|wiki-3833|wiki-2,0,0,0.8,1.0,0.8889
phone,exp1_baseline,gemma-2-2b-it,squad-29,squad,0,28165.543,28289.766,12.932,28152.61,62.1118,2,298.3,1783127250.7901518,1783127279.3555505,622.0383,602.7338,Denver Broncos,wiki-0|wiki-6476|wiki-2|wiki-1786|wiki-3831,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-0,hotpotqa,0,23522.37,23579.841,4.782,23517.588,57.4713,1,298.3,1783127279.3557065,1783127319.3550525,,,American,wiki-6|wiki-10|wiki-5|wiki-11|wiki-13,0,0,0.0,1.0,0.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-1,hotpotqa,0,32272.28,34247.589,6.27,32266.01,123.4568,16,298.3,1783127319.3551917,1783127372.498814,,,The text doesn't say what government position was held by the actress who portrayed Corliss Archer.,wiki-22|wiki-6796|wiki-21|wiki-10964|wiki-2020,0,0,0.0,0.4667,0.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-2,hotpotqa,0,35721.814,36369.296,7.528,35714.286,71.9424,9,298.3,1783127372.4989538,1783127421.0338433,627.5825,594.7826,This question cannot be answered from the provided context.,wiki-40|wiki-5545|wiki-30|wiki-37|wiki-3974,0,0,0.0,0.25,0.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-3,hotpotqa,0,13601.815,13660.294,4.977,13596.838,58.4795,1,298.3,1783127421.0339754,1783127438.218007,,,No.,wiki-50|wiki-49|wiki-42|wiki-53|wiki-46,0,1,1.0,0.0,0.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-4,hotpotqa,0,24529.165,25092.545,9.165,24520.0,70.4225,8,298.3,1783127438.2181494,1783127465.3828666,,,The provided text does not contain the answer.,wiki-66|wiki-4276|wiki-2292|wiki-65|wiki-6751,0,0,0.0,0.0,0.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-5,hotpotqa,0,25194.681,25388.856,5.492,25189.189,97.0874,2,298.3,1783127465.3830194,1783127521.283921,,,YG Entertainment,wiki-70|wiki-72|wiki-71|wiki-73|wiki-75,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-6,hotpotqa,0,30868.288,31381.109,5.344,30862.944,85.4701,6,298.3,1783127521.2840598,1783127571.2621198,,,"Eenasul Fateh, also known as Aladin.",wiki-85|wiki-6171|wiki-6005|wiki-90|wiki-8119,0,0,0.5,1.0,0.6667
phone,exp1_baseline,gemma-2-2b-it,hotpot-7,hotpotqa,0,25772.824,26369.839,5.189,25767.635,74.6269,8,298.3,1783127571.2624767,1783127602.1657236,1066.7748,1045.8904,"The arena can seat up to 1,400 people.",wiki-120|wiki-119|wiki-239|wiki-121|wiki-233,0,0,0.0,1.0,0.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-8,hotpotqa,0,21195.123,21465.394,4.647,21190.476,67.5676,4,298.3,1783127602.165869,1783127625.5072837,,,Annie Morton is older.,wiki-125|wiki-122|wiki-134|wiki-126|wiki-355,0,0,0.0,0.75,0.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-9,hotpotqa,0,18465.135,18530.924,18.919,18446.215,65.7895,1,298.3,1783127625.5074177,1783127644.4126513,430.3358,417.5596,Yes.,wiki-144|wiki-141|wiki-147|wiki-11482|wiki-8953,0,1,1.0,0.0,0.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-10,hotpotqa,0,22824.925,23172.148,7.465,22817.46,69.4444,5,298.3,1783127644.4128065,1783127666.6704764,243.6104,228.5687,Kansas Song (Weâ€™re From Kansas),wiki-157|wiki-165|wiki-149|wiki-3104|wiki-153,0,0,0.5,0.8333,0.625
phone,exp1_baseline,gemma-2-2b-it,hotpot-11,hotpotqa,0,21771.648,21899.036,11.648,21760.0,63.6943,2,298.3,1783127666.6706243,1783127691.68359,,,David Diamond,wiki-177|wiki-171|wiki-3693|wiki-2292|wiki-3598,0,0,0.5,1.0,0.6667
phone,exp1_baseline,gemma-2-2b-it,hotpot-12,hotpotqa,0,26806.465,26875.43,6.465,26800.0,68.9655,1,298.3,1783127691.683767,1783127719.3283713,43.7931,25.1108,1999,wiki-185|wiki-178|wiki-189|wiki-188|wiki-179,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-13,hotpotqa,0,27113.612,27178.128,5.178,27108.434,64.5161,1,298.3,1783127719.328522,1783127748.2980454,515.9827,496.4051,Yes.,wiki-195|wiki-194|wiki-2815|wiki-8586|wiki-10206,0,0,0.0,0.0,0.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-14,hotpotqa,0,19847.64,20674.708,5.743,19841.897,75.188,11,298.3,1783127748.2981865,1783127771.7150064,,,The provided text does not contain the answer to your question.,wiki-205|wiki-212|wiki-211|wiki-206|wiki-334,0,0,0.1538,0.1111,0.129
phone,exp1_baseline,gemma-2-2b-it,hotpot-15,hotpotqa,0,21979.496,23257.691,19.496,21960.0,75.188,17,298.3,1783127771.7151492,1783127797.8017647,559.41,541.7807,The provided text does not contain the population of the country Brown State Fishing Lake is in.,wiki-215|wiki-226|wiki-9323|wiki-1321|wiki-7675,0,0,0.0,0.6429,0.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-16,hotpotqa,0,22596.711,22858.149,7.07,22589.641,65.3595,4,298.3,1783127797.801904,1783127821.8703995,,,The North Atlantic Conference,wiki-232|wiki-233|wiki-239|wiki-231|wiki-227,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-17,hotpotqa,0,16484.684,16551.351,4.684,16480.0,66.6667,1,298.3,1783127821.8705525,1783127841.530762,467.9738,454.6874,Yes.,wiki-244|wiki-246|wiki-251|wiki-245|wiki-11275,0,1,1.0,0.0,0.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-18,hotpotqa,0,30853.512,31063.302,6.738,30846.774,69.9301,3,298.3,1783127841.5308986,1783127873.1769063,271.7702,250.3838,The Nixon administration.,wiki-264|wiki-5780|wiki-5779|wiki-595|wiki-5773,0,0,0.0,1.0,0.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-19,hotpotqa,0,22556.688,22755.363,6.887,22549.801,66.2252,3,298.3,1783127873.1771054,1783127896.3562741,,,Robert Erskine Childers,wiki-268|wiki-273|wiki-272|wiki-275|wiki-270,0,0,0.8571,1.0,0.9231
phone,exp1_baseline,gemma-2-2b-it,hotpot-20,hotpotqa,0,15184.346,15304.828,6.48,15177.866,60.241,2,298.3,1783127896.356412,1783127913.4339643,432.9711,421.4301,Pedro RodrÃ­guez,wiki-282|wiki-287|wiki-10504|wiki-10500|wiki-10499,0,0,0.4,0.3333,0.3636
phone,exp1_baseline,gemma-2-2b-it,hotpot-21,hotpotqa,0,18765.665,18898.116,5.665,18760.0,66.2252,2,298.3,1783127913.4341056,1783127934.923931,,,Dr. Robotnik,wiki-301|wiki-296|wiki-3178|wiki-18|wiki-328,0,0,0.0,1.0,0.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-22,hotpotqa,0,29166.911,29446.631,6.911,29160.0,69.9301,4,298.3,1783127934.9240654,1783127961.048202,476.8146,459.1599,The iSight iMac G5,wiki-307|wiki-309|wiki-320|wiki-304|wiki-305,0,0,0.0,1.0,0.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-23,hotpotqa,0,18981.336,19177.414,21.336,18960.0,65.3595,3,298.3,1783127961.0483341,1783127982.1543329,72.5776,58.3142,Badly Drawn Boy.,wiki-328|wiki-329|wiki-321|wiki-330|wiki-324,0,1,1.0,1.0,1.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-24,hotpotqa,0,25568.661,26162.721,13.106,25555.556,99.0099,6,298.3,1783127982.1544843,1783128010.7634888,,,IFFHS World's Best Goalkeeper in 1992.,wiki-341|wiki-334|wiki-338|wiki-339|wiki-6351,0,0,0.7273,1.0,0.8421
phone,exp1_baseline,gemma-2-2b-it,hotpot-25,hotpotqa,0,21838.111,22703.496,19.929,21818.182,96.1538,9,298.3,1783128010.7636409,1783128038.6363995,493.2487,474.4123,"Lee Hazlewood wrote ""These Boots Are Made for Walkin'"".",wiki-353|wiki-344|wiki-351|wiki-352|wiki-354,0,0,0.3333,0.8889,0.4848
phone,exp1_baseline,gemma-2-2b-it,hotpot-26,hotpotqa,0,44690.017,46044.184,7.936,44682.081,104.1667,13,298.3,1783128038.6365507,1783128087.8331501,372.6035,339.3565,The provided text does not contain the founding year of Virginia Commonwealth University.,wiki-358|wiki-363|wiki-365|wiki-368|wiki-356,0,0,0.0,0.4545,0.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-27,hotpotqa,0,33016.741,33100.775,5.377,33011.364,84.0336,1,298.3,1783128087.833371,1783128120.3339603,,,Yes.,wiki-375|wiki-2032|wiki-11913|wiki-4444|wiki-373,0,1,1.0,0.0,0.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-28,hotpotqa,0,38805.423,38890.893,5.423,38800.0,85.4701,1,298.3,1783128120.3341084,1783128157.722364,484.3927,459.1257,Yes.,wiki-384|wiki-381|wiki-386|wiki-387|wiki-388,0,0,0.0,0.0,0.0
phone,exp1_baseline,gemma-2-2b-it,hotpot-29,hotpotqa,0,21983.837,22246.995,6.436,21977.401,87.7193,3,298.3,1783128157.7225125,1783128184.1656227,,,Arena of Khazan,wiki-390|wiki-394|wiki-401|wiki-402|wiki-9626,0,1,1.0,1.0,1.0
